Date,Close,High,Low,Open,Volume
2000-03-31,1.0192773342132568,1.0300650857350442,0.9456338630062326,0.956422516354748,404633600
2000-04-03,1.0005139112472534,1.0469516602475109,0.9714321127404538,1.0169309602111993,328563200
2000-04-04,0.9554842114448547,0.9981688637657845,0.8762123564097414,0.9953546639628977,660329600
2000-04-05,0.9784682989120483,0.9972304942868234,0.9306235082916092,0.949151128627812,457665600
2000-04-06,0.939536452293396,1.009426824258344,0.9249946960901794,0.9803450153024695,259627200
2000-04-07,0.9887875318527222,0.9897255318121533,0.9418815217032358,0.9550153247886505,242435200
2000-04-10,0.9381284117698669,0.9962929260191514,0.9362523116637638,0.9883184734878261,212262400
2000-04-11,0.8963818550109863,0.937190314072827,0.886062252269231,0.9268716131577555,541822400
2000-04-12,0.8199240565299988,0.8930984623960939,0.7870900051492947,0.8930984623960939,941136000
2000-04-13,0.8541659712791443,0.9006037177837436,0.814295524981286,0.8368108734433579,529827200
2000-04-14,0.8396250009536743,0.8855928418717086,0.8180477040922727,0.820392903429089,667620800
2000-04-17,0.9296854138374329,0.9301544637143273,0.8185167352009686,0.8218008358611428,409561600
2000-04-18,0.9522008299827576,0.9522008299827576,0.8959125329810763,0.9268713318088969,390924800
2000-04-19,0.9090466499328613,0.9775298684131065,0.8987270467144238,0.9470410106846826,520150400
2000-04-20,0.8921603560447693,0.9362521583188551,0.8785575052201253,0.928278508717218,722120000
2000-04-24,0.9043561816215515,0.9043561816215515,0.8612024781768602,0.8630785780266151,443620800
2000-04-25,0.9629887938499451,0.9662728452187185,0.9160827925612246,0.9165518425538172,391641600
2000-04-26,0.9104537963867188,0.9606437601396407,0.9006040449338151,0.9503241569648031,366912000
2000-04-27,0.9512624740600586,0.9531394765045154,0.8749225240645061,0.8794959890212589,326603200
2000-04-28,0.9310928583145142,0.9568915143160018,0.9104537531479883,0.9540773140635325,249580800
2000-05-01,0.9329690337181091,0.9390672857599116,0.9146758808400878,0.9371902838826701,226195200
2000-05-02,0.8846551775932312,0.9475099977425809,0.8818409770848505,0.9249946902249875,236432000
2000-05-03,0.8635475635528564,0.9099845134190707,0.837749013131098,0.8926293636187166,489798400
2000-05-04,0.8307124972343445,0.8649545416788533,0.8297743974643834,0.8640164419088923,399515200
2000-05-05,0.8490069508552551,0.8612026545066962,0.8309474194178432,0.831650944480178,284076800
2000-05-08,0.8264914155006409,0.8532280174839343,0.8255533154844594,0.8412667913643473,184900800
2000-05-09,0.7913114428520203,0.8349350046656453,0.7870901423864121,0.8278986521644175,327140800
2000-05-10,0.7453433275222778,0.7880279758058857,0.7411211764922387,0.7809916252391405,535091200
2000-05-11,0.7716109752655029,0.7823996259609901,0.7429982246915631,0.7608223746714884,499744000
2000-05-12,0.8077290058135986,0.8293054522467564,0.7862685943735077,0.795533307189969,306913600
2000-05-15,0.7580083012580872,0.8110125116669377,0.7514409490390017,0.8110125116669377,678932800
2000-05-16,0.7931872010231018,0.8185166947468987,0.7711417576957086,0.7843923910123508,440451200
2000-05-17,0.7608224749565125,0.7781775772379168,0.7533170729716235,0.7777085271899706,398092800
2000-05-18,0.7561319470405579,0.7875588940832944,0.755193847165181,0.77301799530468,373777600
2000-05-19,0.7054729461669922,0.7448743459229592,0.7007817450653708,0.7448743459229592,740667200
2000-05-22,0.674983561038971,0.7035971777475111,0.645432695611234,0.7035971777475111,755507200
2000-05-23,0.644025444984436,0.7007819616051935,0.6426183447468066,0.6792055562024497,517585600
2000-05-24,0.6580970883369446,0.6735760377191525,0.6229169883850082,0.6468394383157957,678462400
